Year,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
Analysis,50,10,20,25,30,40,60,70,75,80,90,50,10,20,25,30,40,60,70,75,80,90,50,10,20,25,30,40,60,70,75,80,90,50,10,20,25,30,40,60,70,75,80,90,50,10,20,25,30,40,60,70,75,80,90,50,10,20,25,30,40,60,70,75,80,90,50,10,20,25,30,40,60,70,75,80,90,50,10,20,25,30,40,60,70,75,80,90,50,10,20,25,30,40,60,70,75,80,90,50,10,20,25,30,40,60,70,75,80,90
Birmingham,23788.0,8055.0,12848.0,14715.0,16749.0,20191.0,27714.0,32959.0,35767.0,38544.0,47934.0,23836.0,7955.0,12818.0,14745.0,16649.0,20040.0,27885.0,33831.0,36791.0,40146.0,50673.0,25176.0,8127.0,13538.0,15572.0,17205.0,20855.0,29644.0,35830.0,38936.0,41872.0,54141.0,26303.0,8923.0,14914.0,16965.0,18754.0,22248.0,30547.0,37061.0,39836.0,43667.0,56803.0,27506.0,9887.0,15777.0,17861.0,19554.0,23213.0,32659.0,38867.0,42126.0,46044.0,59720.0,27109.0,10113.0,16480.0,18521.0,20063.0,22950.0,31577.0,37422.0,40713.0,45000.0,55631.0,28609.0,10741.0,17516.0,19483.0,21320.0,24895.0,33676.0,40035.0,42414.0,46308.0,58016.0,29557.0,10677.0,16903.0,19762.0,21910.0,25800.0,34331.0,40363.0,43359.0,48505.0,62450.0,32133.0,11333.0,19205.0,21882.0,24063.0,28154.0,37234.0,45000.0,49201.0,54084.0,67913.0,33374,12006.0,20036.0,23029.0,25280.0,29551.0,38241.0,44963.0,48781.0,53678.0,69286.0
"Bristol, City of UA",24311.0,8157.0,13975.0,15764.0,17802.0,21233.0,28049.0,32755.0,35555.0,38803.0,52472.0,24227.0,8658.0,14183.0,16211.0,17954.0,20851.0,27791.0,32584.0,35541.0,39261.0,52472.0,25072.0,8808.0,14208.0,16324.0,18676.0,21742.0,29403.0,34874.0,37884.0,41950.0,55912.5,26653.0,9157.0,14920.0,17605.0,19380.0,22791.0,30013.0,34954.0,38602.0,41642.0,55912.5,28082.0,9506.0,15565.0,17784.0,19965.0,23987.0,31673.0,37538.0,40227.0,44798.0,59353.0,27505.0,9825.0,15904.0,18421.0,20286.0,23723.0,31878.0,37260.0,40514.0,44501.0,58588.0,30750.0,10646.0,18563.0,20563.0,22604.0,26390.0,34272.0,39327.0,42140.0,46140.0,61057.5,32013.0,11467.0,19488.0,22376.0,24105.0,27549.0,36504.0,42087.0,44534.0,48162.0,63527.0,35075.0,13475.0,22598.0,24655.0,26116.0,30140.0,39411.0,45274.0,49333.0,54145.0,68745.0,36652,13195.0,22889.0,25568.0,28071.0,32192.0,42026.0,48457.0,52762.0,58315.0,73180.0
City of Edinburgh,25971.0,9279.0,15113.0,17149.0,19413.0,22571.0,30300.0,35922.0,38767.0,42850.0,57613.0,27239.0,9525.0,15448.0,17861.0,19783.0,23218.0,31755.0,37357.0,41058.0,46126.0,59408.0,26470.0,9213.0,14866.0,17364.0,19215.0,22962.0,31027.0,36489.0,39702.0,44431.0,58786.0,27110.0,8688.0,14939.0,17219.0,19237.0,23307.0,31436.0,38215.0,41873.0,46277.0,59978.0,29385.0,9006.0,16063.0,18394.0,20959.0,24715.0,34177.0,40814.0,44686.0,48949.0,60126.5,28927.0,11424.0,17375.0,19245.0,21143.0,25264.0,33214.0,39954.0,43335.0,46819.0,60275.0,30714.0,12220.0,18271.0,20627.0,22537.0,26375.0,34996.0,41084.0,44790.0,48941.0,62386.0,33054.0,12531.0,20965.0,22883.0,24945.0,28891.0,37781.0,43903.0,48288.0,53513.0,67658.0,36312.0,13914.0,22736.0,25185.0,27000.0,31307.0,41848.0,48516.0,53345.0,58291.0,72820.0,38345,14777.0,24343.0,26378.0,28725.0,33171.0,44297.0,52145.0,57282.0,63839.0,82187.0
Cornwall UA,17868.0,5850.0,9624.0,11106.0,12667.0,15536.0,21027.0,24795.0,26759.0,29305.0,36606.0,18917.0,6038.0,10000.0,11320.0,12956.0,16036.0,22296.0,25852.0,28422.0,30486.0,36606.0,19263.0,6880.0,10262.0,11842.0,13634.0,16365.0,22191.0,25520.0,27599.0,30402.0,37603.0,19750.0,7220.0,10817.0,12383.0,14412.0,16999.0,22934.0,26993.0,29269.0,31537.0,40811.0,19955.0,6766.0,10900.0,12453.0,13639.0,17064.0,23278.0,27712.0,30000.0,32483.0,39673.0,20629.0,7781.0,11297.0,12651.0,14494.0,17839.0,23440.0,27024.0,29774.0,32854.0,42392.5,24047.0,9371.0,13453.0,16079.0,18129.0,21258.0,27640.0,31144.0,33391.0,36324.0,45112.0,25657.0,9538.0,14236.0,16523.0,18467.0,22030.0,29495.0,33749.0,36568.0,39518.0,46635.5,26665.0,10199.0,15294.0,17769.0,20203.0,23337.0,30693.0,34960.0,37948.0,41003.0,48159.0,27006,9281.0,13572.0,16479.0,18867.0,23402.0,31230.0,35545.0,38398.0,41297.0,50153.0
Derbyshire,20927.0,7200.0,10943.0,13107.0,14359.0,17601.0,24306.0,28553.0,30830.0,34126.0,43291.0,20566.0,6897.0,10950.0,12587.0,14475.0,17321.0,24499.0,29175.0,31517.0,34571.0,43076.0,20691.0,6240.0,10241.0,12478.0,14095.0,17537.0,24503.0,28980.0,31506.0,34102.0,42461.0,21999.0,7799.0,11697.0,13660.0,15495.0,18329.0,25653.0,30216.0,32802.0,35733.0,44469.0,23682.0,8628.0,12742.0,15126.0,17211.0,20146.0,26922.0,31006.0,33992.0,37268.0,45193.0,24043.0,8784.0,14065.0,16339.0,17649.0,20931.0,27237.0,31375.0,33597.0,37202.0,45917.0,24783.0,8313.0,13485.0,15877.0,18144.0,21352.0,28569.0,32654.0,34861.0,37706.0,46997.0,26053.0,9587.0,14860.0,16954.0,19316.0,22836.0,29715.0,34502.0,37432.0,40599.0,49281.5,28612.0,10861.0,16502.0,19627.0,21842.0,25000.0,32316.0,37416.0,40225.0,42835.0,51566.0,30000,11995.0,16875.0,20249.0,22883.0,26301.0,34502.0,39471.0,42649.0,46021.0,55441.0
Devon,20726.0,6603.0,10588.0,12979.0,14582.0,17756.0,23747.0,27786.0,30000.0,32728.0,40729.0,20441.0,6878.0,10441.0,12569.0,14283.0,17500.0,23413.0,27527.0,29806.0,32165.0,40706.0,20901.0,7189.0,10648.0,12823.0,14863.0,18120.0,24039.0,28508.0,30452.0,33428.0,41007.0,21201.0,7147.0,10606.0,12776.0,15072.0,18264.0,24102.0,28716.0,31132.0,34193.0,42180.0,21217.0,7057.0,10637.0,12586.0,14639.0,18253.0,24338.0,28421.0,31373.0,33886.0,42016.0,22214.0,7862.0,11650.0,13722.0,15592.0,19365.0,25591.0,29945.0,32634.0,35994.0,43529.0,24629.0,8667.0,13409.0,15458.0,17721.0,20842.0,28099.0,32217.0,34445.0,37322.0,45042.0,25421.0,8897.0,14162.0,16887.0,18844.0,22368.0,29178.0,33460.0,36363.0,39871.0,47995.0,27597.0,9127.0,14986.0,17769.0,20736.0,24564.0,31259.0,35766.0,38503.0,42234.0,50948.0,29114,10153.0,16410.0,19702.0,22368.0,25716.0,33255.0,37779.0,41207.0,44390.0,53241.0
East,22330.0,6515.0,10792.0,12981.0,14927.0,18622.0,26219.0,31200.0,34110.0,37716.0,48636.0,22631.0,6673.0,11000.0,13239.0,15214.0,18786.0,26701.0,31596.0,34671.0,38095.0,49432.0,23442.0,6926.0,11458.0,13720.0,15759.0,19707.0,27459.0,32282.0,35557.0,39302.0,50856.0,24447.0,7349.0,11902.0,14278.0,16616.0,20482.0,28638.0,33672.0,36653.0,40322.0,52638.0,24983.0,7739.0,12471.0,15000.0,17436.0,21089.0,29129.0,34204.0,37315.0,41018.0,53168.0,25325.0,8111.0,12707.0,15382.0,17805.0,21519.0,29361.0,34311.0,37565.0,41100.0,52260.0,26797.0,8608.0,13557.0,16283.0,18923.0,23025.0,31180.0,36211.0,39797.0,43620.0,55243.0,28669.0,8633.0,14161.0,17063.0,19960.0,24532.0,33240.0,38603.0,42197.0,45890.0,58244.0,30447.0,9542.0,15555.0,18906.0,21890.0,26184.0,35107.0,40912.0,44514.0,48744.0,61999.0,31513,9932.0,16361.0,19793.0,23099.0,27399.0,36723.0,43000.0,46749.0,50881.0,67033.0
East Midlands,21122.0,7298.0,11449.0,13397.0,14991.0,18014.0,24668.0,29098.0,31739.0,34814.0,44149.0,21324.0,7160.0,11346.0,13455.0,15195.0,18171.0,25000.0,29368.0,32091.0,35380.0,45100.0,21759.0,7052.0,11373.0,13442.0,15360.0,18477.0,25533.0,30000.0,32963.0,36132.0,45861.0,23070.0,7917.0,12352.0,14704.0,16586.0,19665.0,26833.0,31531.0,34293.0,37835.0,47804.0,24111.0,8628.0,13247.0,15631.0,17575.0,20703.0,27943.0,32826.0,36011.0,39830.0,49676.0,24137.0,8762.0,13807.0,16241.0,17943.0,21004.0,27741.0,32100.0,34685.0,37892.0,47579.0,25819.0,9359.0,14602.0,16950.0,19029.0,22355.0,29577.0,34042.0,36809.0,40124.0,50000.0,26944.0,9502.0,15025.0,17807.0,20076.0,23651.0,30655.0,35347.0,38295.0,41955.0,52219.0,28880.0,10180.0,16335.0,19346.0,21891.0,25271.0,32688.0,37746.0,40759.0,44676.0,56006.0,30000,11008.0,16852.0,20112.0,23095.0,26481.0,34312.0,39606.0,42918.0,46863.0,58581.0
England,23334.0,7465.0,11977.0,14184.0,16000.0,19640.0,27562.0,32602.0,35700.0,39450.0,51402.0,23761.0,7564.0,12187.0,14546.0,16373.0,19968.0,28047.0,33271.0,36430.0,40193.0,52746.0,24283.0,7730.0,12364.0,14769.0,16758.0,20400.0,28688.0,33990.0,37235.0,41140.0,54026.0,25169.0,8179.0,13044.0,15614.0,17663.0,21228.0,29645.0,35027.0,38357.0,42236.0,55741.0,26172.0,8628.0,13778.0,16424.0,18454.0,22152.0,30709.0,36214.0,39743.0,43683.0,57443.0,26233.0,8788.0,14201.0,16812.0,18837.0,22355.0,30500.0,35956.0,39333.0,43185.0,55823.0,28040.0,9600.0,15602.0,18313.0,20326.0,24087.0,32646.0,38266.0,41530.0,45472.0,58633.0,29828.0,10093.0,16571.0,19566.0,21825.0,25792.0,34543.0,40447.0,43773.0,48042.0,62484.0,31882.0,11026.0,18055.0,21322.0,23690.0,27656.0,36899.0,43049.0,46746.0,51201.0,66976.0,33142,11439.0,18653.0,22187.0,24669.0,28769.0,38292.0,44962.0,48820.0,53630.0,71090.0
England and Wales,23178.0,7468.0,11958.0,14135.0,15944.0,19530.0,27385.0,32429.0,35461.0,39143.0,50879.0,23609.0,7547.0,12142.0,14500.0,16313.0,19870.0,27907.0,33072.0,36181.0,39994.0,52122.0,24105.0,7696.0,12324.0,14716.0,16689.0,20288.0,28488.0,33715.0,36979.0,40811.0,53390.0,25011.0,8166.0,13015.0,15572.0,17599.0,21114.0,29477.0,34868.0,38082.0,41909.0,55114.0,26000.0,8628.0,13762.0,16379.0,18398.0,22018.0,30500.0,35986.0,39417.0,43234.0,56736.0,26067.0,8784.0,14166.0,16766.0,18774.0,22250.0,30357.0,35724.0,39063.0,42821.0,55284.0,27942.0,9597.0,15572.0,18252.0,20265.0,24000.0,32487.0,38028.0,41287.0,45151.0,58026.0,29654.0,10070.0,16510.0,19498.0,21743.0,25690.0,34359.0,40171.0,43470.0,47673.0,61729.0,31708.0,10968.0,17989.0,21226.0,23574.0,27516.0,36661.0,42777.0,46413.0,50799.0,66101.0,32991,11424.0,18589.0,22094.0,24563.0,28627.0,38058.0,44677.0,48479.0,53162.0,70250.0
Essex,21387.0,6182.0,10303.0,12100.0,14340.0,17967.0,25176.0,30205.0,33146.0,36877.0,48224.0,22255.0,6420.0,10631.0,12825.0,15113.0,18568.0,26312.0,31323.0,34252.0,38084.0,48946.0,22655.0,6193.0,10461.0,12204.0,14684.0,18694.0,26476.0,31075.0,34353.0,38407.0,48958.0,23943.0,6889.0,11001.0,12986.0,15516.0,20007.0,28332.0,33138.0,36151.0,39552.0,50273.0,24000.0,6866.0,10883.0,13065.0,15687.0,19980.0,28221.0,33160.0,36214.0,40051.0,50816.0,24408.0,7456.0,11902.0,14101.0,16404.0,20688.0,28505.0,33000.0,36075.0,39830.0,50327.0,26343.0,8435.0,12993.0,15887.0,18331.0,22456.0,30318.0,35730.0,39253.0,42929.0,54615.5,27995.0,8608.0,13327.0,15930.0,18953.0,23744.0,32514.0,37450.0,40781.0,44500.0,58904.0,30817.0,9684.0,15111.0,18550.0,21570.0,26289.0,35727.0,41011.0,44326.0,48000.0,61249.0,30898,9559.0,15360.0,18645.0,22391.0,26640.0,35812.0,41694.0,45529.0,50074.0,66286.0
Gloucestershire,22634.0,7570.0,11254.0,13633.0,15504.0,19168.0,26000.0,30509.0,33643.0,37205.0,47621.0,22791.0,7189.0,11441.0,13958.0,15544.0,18992.0,26773.0,31292.0,34525.0,37898.0,47621.0,23892.0,7242.0,11533.0,14003.0,16177.0,20169.0,27550.0,31980.0,35577.0,38126.0,49626.0,24328.0,8003.0,11850.0,14236.0,16480.0,20476.0,28332.0,33141.0,36795.0,40267.0,50000.0,24078.0,8464.0,12232.0,14989.0,17231.0,20487.0,27858.0,33082.0,36752.0,39383.0,50468.0,24571.0,8599.0,12827.0,15687.0,17897.0,21248.0,28368.0,32785.0,36331.0,40567.0,51005.0,26759.0,8999.0,14040.0,17652.0,19366.0,23006.0,31451.0,36201.0,39383.0,42061.0,54296.0,28154.0,9301.0,16286.0,19104.0,21011.0,24551.0,32535.0,38664.0,41303.0,45918.0,57587.0,30060.0,9740.0,16452.0,20244.0,22990.0,26403.0,34952.0,40000.0,43752.0,47982.0,60165.0,32019,10369.0,17671.0,21893.0,24525.0,28671.0,36222.0,42547.0,47455.0,50604.0,64836.0
Great Britain,23162.0,7500.0,11986.0,14153.0,15961.0,19524.0,27315.0,32334.0,35300.0,38904.0,50465.0,23561.0,7588.0,12183.0,14506.0,16327.0,19864.0,27817.0,32953.0,36000.0,39673.0,51667.0,24072.0,7748.0,12379.0,14747.0,16722.0,20314.0,28425.0,33600.0,36750.0,40491.0,53000.0,25000.0,8189.0,13037.0,15576.0,17600.0,21102.0,29400.0,34716.0,37920.0,41670.0,54602.0,26000.0,8628.0,13798.0,16411.0,18422.0,22032.0,30464.0,35925.0,39309.0,43023.0,56159.0,26056.0,8790.0,14203.0,16786.0,18789.0,22261.0,30360.0,35695.0,39012.0,42658.0,54961.0,27902.0,9600.0,15594.0,18253.0,20271.0,24000.0,32437.0,37971.0,41192.0,44973.0,57512.0,29640.0,10086.0,16521.0,19500.0,21756.0,25684.0,34355.0,40121.0,43318.0,47446.0,61123.0,31722.0,11014.0,18011.0,21252.0,23607.0,27539.0,36664.0,42740.0,46367.0,50606.0,65591.0,32972,11456.0,18613.0,22112.0,24580.0,28646.0,38061.0,44629.0,48408.0,52929.0,69750.0
Greater Manchester Met County,22134.0,7337.0,11891.0,13799.0,15586.0,18882.0,25553.0,30337.0,32960.0,35866.0,45888.0,22628.0,7771.0,12451.0,14680.0,16336.0,19421.0,26471.0,30948.0,33718.0,36750.0,46714.0,23172.0,7840.0,12738.0,15000.0,16681.0,19828.0,26941.0,31380.0,34564.0,37769.0,48169.0,23917.0,8478.0,13580.0,15784.0,17462.0,20448.0,27663.0,32394.0,35495.0,38880.0,48792.0,24560.0,8675.0,13601.0,15907.0,17793.0,21166.0,28465.0,33493.0,36493.0,39999.0,50732.0,24342.0,8426.0,13453.0,15792.0,17928.0,21105.0,28000.0,32840.0,35637.0,39252.0,49893.0,26412.0,9731.0,15511.0,17984.0,19760.0,22959.0,30360.0,35456.0,39101.0,42284.0,53955.0,28702.0,10288.0,16441.0,19517.0,21430.0,24962.0,32869.0,37623.0,40801.0,44915.0,56696.0,30465.0,11375.0,18646.0,21394.0,23491.0,26690.0,34525.0,39809.0,43540.0,47417.0,60818.0,31706,11742.0,18772.0,21929.0,24106.0,27789.0,36634.0,42529.0,46151.0,50079.0,65321.0
Hampshire,24556.0,8000.0,12672.0,15000.0,17107.0,20838.0,28903.0,33818.0,37087.0,40788.0,53534.0,24652.0,7360.0,12223.0,14654.0,16781.0,20653.0,28977.0,34294.0,37836.0,41163.0,52851.0,25028.0,7243.0,12000.0,14643.0,16872.0,20800.0,29470.0,34799.0,37946.0,41571.0,54000.0,25431.0,7741.0,12153.0,14863.0,17225.0,21070.0,30146.0,35891.0,39360.0,43480.0,56547.0,26434.0,8044.0,12569.0,15928.0,18297.0,22310.0,30892.0,35782.0,39252.0,43034.0,56926.0,27142.0,8880.0,14102.0,17413.0,19409.0,23425.0,31983.0,37118.0,40000.0,43695.0,54952.0,28973.0,9597.0,15600.0,18844.0,21119.0,25443.0,33397.0,38832.0,41504.0,45235.0,57769.0,30392.0,10464.0,16852.0,20164.0,22742.0,26616.0,35138.0,40835.0,44042.0,48134.0,60587.0,31943.0,10224.0,17470.0,21232.0,24140.0,27948.0,36652.0,42638.0,46551.0,50760.0,65998.0,33507,11451.0,18061.0,22444.0,25118.0,29080.0,37826.0,44285.0,48116.0,53039.0,68681.0
Hertfordshire,23605.0,6181.0,10536.0,12945.0,15079.0,19309.0,28118.0,33362.0,36524.0,40335.0,53257.0,24000.0,6001.0,10374.0,12802.0,15179.0,19658.0,29000.0,34300.0,37371.0,40454.0,54897.0,25345.0,6365.0,11610.0,14197.0,16473.0,21120.0,30262.0,35617.0,38986.0,42917.0,57086.0,25902.0,6463.0,11107.0,13794.0,16639.0,21515.0,30690.0,36324.0,39796.0,44308.0,58920.0,25968.0,6492.0,12000.0,14978.0,17614.0,21916.0,30669.0,36924.0,40398.0,45000.0,61258.0,25902.0,7115.0,11390.0,14029.0,16988.0,21534.0,30568.0,36840.0,40374.0,44344.0,56141.0,27457.0,7201.0,11731.0,14507.0,17722.0,23265.0,32501.0,38764.0,42332.0,47127.0,63060.5,28600.0,6384.0,11594.0,14159.0,17255.0,23295.0,33939.0,40449.0,44083.0,48315.0,63060.5,30000.0,6972.0,12376.0,14838.0,18363.0,24922.0,35583.0,42834.0,47280.0,52032.0,69980.0,32631,7956.0,14312.0,17722.0,21101.0,27610.0,38694.0,46992.0,50667.0,56523.0,76586.0
